Group_Messages_Per_Day,Group_Sentiment,Group_Emotionality,Group_Complexity,Group_Influence,Group_Percentage_Activity_Increase_Monthly,Group_Activity,Group_Percentage_AWVCI_Increase_Monthly,Group_AWVCI,Group_Percentage_Betweenness_Centrality_Increase_Monthly,Group_Betweenness_Centrality,Group_Percentage_Betweenness_Oscillation_Increase_Monthly,Group_Betweenness_Oscillation,Group_Percentage_Density_Increase_Monthly,Group_Density,Gini_Degree_Centrality_Top,Gini_Degree_Centrality,Percentage_Connected_Actors,Gini_Sentiment,Gini_Sentiment_Top,Gini_complexity,Gini_complexity_Top,Gini_Contribution_Index_Top,Percentage_Isolated_Actors,Percentage_Hirable_Actors,Percentage_Closed_Issues,Percentage_Creations,Percentage_Solo_Issues,Repository_Name,Target
0.1487,0.2284,0.1507,3.6464,0,1.0535,249,0.9989,0.3406,1.5127,0.2021,1.078,26,1.0668,0.0094,0.36,0.3099,0.0989,0.2341,0.2388,0.3252,0.0474,0.425,0.4945,0.2198,0.7711,0.3775,0.4194,linuxmint_blueberry,1.66666666666667
0.2242,0.3232,0.1979,5.0305,0.0034,1.0646,555,0.9929,0.3419,1.1119,0.318,1.068,33,1.057,0.006,0.3917,0.3646,0.0318,0.1704,0.2131,0.4461,0.0511,0.141,0.4395,0.2038,0.7838,0.4036,0.4144,linuxmint_cinnamon-control-center,0.407766990291262
0.1309,0.3052,0.1697,4.3142,0.0005,1.0806,301,0.9895,0.2516,1.1526,0.2424,1.0746,23,1.0692,0.0093,0.45,0.3203,0.1071,0.177,0.2641,0.4254,0.058,0.2058,0.3929,0.2024,0.8704,0.4718,0.5141,linuxmint_cinnamon-desktop,1.08695652173913
0.0311,0.1368,0.0767,1.6136,0,1.0605,63,1.009,0.285,1.1025,0.2567,0.9891,1,1.0556,0.0272,0,0.2413,1,0.1102,0,0.5532,0,0,0.375,0.125,0.9365,0.5079,0.4688,linuxmint_cinnamon-menus,0.714285714285714
0.5549,0.3972,0.2437,5.9736,0.007,1.0586,1401,0.9922,0.3669,1.1969,0.4483,1.0405,38,1.0516,0.0035,0.7451,0.458,0.023,0.2072,0.2511,0.3378,0.1067,0.2489,0.5287,0.1293,0.6581,0.2341,0.3169,linuxmint_cinnamon-screensaver,0.560747663551402
0.1267,0.2847,0.1706,3.9381,0,1.0798,300,1.0072,0.2873,1.1283,0.4775,1.0523,27,1.0797,0.0208,0.4324,0.3633,0.3393,0.2033,0.0873,0.327,0.0172,0.3914,0.2857,0.25,0.95,0.44,0.5267,linuxmint_cinnamon-session,0.185567010309278
0.292,0.381,0.2449,6.113,0,1.0968,695,0.9988,0.321,1.3726,0.217,1.0576,42,1.0947,0.0052,0.537,0.3727,0.0331,0.1802,0.2832,0.4185,0.0777,0.1677,0.5193,0.1381,0.7741,0.3957,0.4632,linuxmint_cinnamon-settings-daemon,0.192307692307692
1.0965,0.4749,0.2631,5.4404,0.0036,1.1755,1148,0.9833,0.2843,1.6955,0.2921,1.1089,19,1.1155,0.0109,0.5137,0.3587,0.0938,0.1804,0.1549,0.2776,0.054,0.3264,0.25,0.1328,0.8937,0.4155,0.5714,linuxmint_cinnamon-spices-desklets,0.119803308001788
0.4624,0.3317,0.1904,4.5183,0,1.1467,492,0.9935,0.2804,1.6927,0.209,1.1127,21,1.1379,0.0164,0.575,0.346,0.2667,0.1684,0.267,0.326,0.0717,0.2289,0.36,0.1067,0.9004,0.4939,0.5394,linuxmint_cinnamon-spices-extensions,0.181372549019608
1.1054,0.4126,0.2052,4.5779,0.011,1.1661,1175,0.9815,0.2599,1.1758,0.5018,1.1187,16,1.1013,0.0165,0.475,0.4087,0.1183,0.1303,0.0385,0.3088,0.0331,0.6563,0.2581,0.1398,0.9515,0.5132,0.7018,linuxmint_cinnamon-spices-themes,0.164814814814815
0.0746,0.1967,0.1366,3.3073,0,1.0756,173,1.0079,0.2652,1.0517,0.3263,1.0715,15,1.0718,0.0242,0.375,0.2735,0.6316,0.1959,0.1387,0.3471,0.0946,0.05,0.3684,0.3158,0.9538,0.4624,0.5513,linuxmint_cjs,0.566037735849057
0.0233,0.1043,0.044,1.2259,0,1.0405,44,0.9991,0.3186,1.0928,0.2556,0.9891,1,1.0333,0.0322,0,0.1979,1,0.1159,0,0.5326,0,0,0.3684,0.2105,0.9773,0.5,0.5,linuxmint_folder-color-switcher,0.538461538461538
0.0403,0.0668,0.0415,0.949,0,1.0543,38,0.9999,0.3473,1.1137,0.252,0.9815,2,1.0542,0.0524,0,0.1494,1,0.1821,0,0.4091,0,0,0.2667,0,0.9474,0.4474,0.1875,linuxmint_gdebi,1.28571428571429
0.1008,0.1329,0.0765,1.9084,0,1.1382,97,0.9989,0.3216,1.6279,0.3328,1.1053,10,1.1236,0.0272,0.3,0.2405,0.625,0.1776,0.2584,0.4094,0.0693,0.3125,0.375,0.125,0.9381,0.433,0.3571,linuxmint_lightdm-settings,1.7
0.0789,0.1809,0.1064,2.7667,0,1.0549,250,1.0075,0.2999,1.13,0.2513,1.0556,11,1.0416,0.019,0,0.3055,0.5957,0.1425,0.2544,0.4211,0.1011,0,0.4043,0.1277,0.924,0.388,0.4583,linuxmint_live-installer,0.733333333333333
0.3331,0.3169,0.1909,5.0079,0,1.0408,860,0.9986,0.375,1.1587,0.6043,1.0499,38,1.0507,0.0037,0.2286,0.4161,0.0071,0.1917,0.2731,0.436,0.0707,0.1949,0.5214,0.1321,0.9756,0.264,0.2743,linuxmint_mdm,2.23684210526316
0.0202,0.0448,0.0281,0.6565,0,1.0686,31,0.9908,0.2556,1.0289,0.1421,1.0509,3,1.0561,0.0606,0,0.1369,1,0.3046,0,0.297,0,0,0.3333,0.25,0.7097,0.6129,0.6842,linuxmint_mint-dev-tools,0.257142857142857
0.1976,0.2893,0.1648,3.7359,0,1.0953,520,1.0081,0.276,1.1015,0.3682,1.0585,25,1.0752,0.0097,0.2286,0.3448,0.0404,0.2076,0.0849,0.2959,0.0504,0.2526,0.4545,0.1111,0.8962,0.4385,0.5333,linuxmint_mint-themes,0.34375
0.1458,0.2355,0.1303,2.8962,0.0011,1.0683,403,0.9909,0.2547,1.0992,0.3244,1.0381,18,1.0329,0.0196,0.3235,0.2974,0.5714,0.1806,0.0496,0.329,0.0592,1.8471,0.4286,0.102,0.933,0.469,0.6543,linuxmint_mint-x-icons,1.3
0.2865,0.3286,0.1748,3.5926,0.0008,1.0907,385,0.9766,0.2279,1.1589,0.47,1.107,23,1.0664,0.0168,0.5667,0.3194,0.2727,0.0903,0.1027,0.4166,0.0237,0.1667,0.4,0.1091,0.8623,0.6208,0.7384,linuxmint_mint-y-icons,1.63157894736842
0.0437,0.1694,0.1071,2.3465,0,1.0599,130,0.9971,0.3009,1.0853,0.392,1.06,11,1.0405,0.0187,0.3947,0.2538,0.7556,0.2293,0.2734,0.513,0.0201,0.5,0.2444,0.1111,0.9692,0.5231,0.5,linuxmint_mintbackup,0.792079207920792
0.0216,0.0893,0.0545,1.4048,0,1.0416,65,1.0058,0.2634,1.0898,0.2879,1.0662,3,1.0416,0.038,0,0.2229,1,0.1582,0,0.3973,0,0,0.4211,0.1579,0.9846,0.5846,0.6486,linuxmint_mintcommon,0.354838709677419
0.0416,0.1648,0.0843,2.3912,0,1.0513,96,0.998,0.2973,1.0933,0.1012,1.0523,7,1.0484,0.0133,0.3333,0.1882,0.5581,0.1299,0.1253,0.5351,0.0462,0,0.4419,0.0465,0.8229,0.5208,0.4898,linuxmint_mintdrivers,0.666666666666667
0.2427,0.3989,0.2296,5.4965,0.0001,1.0647,726,0.994,0.3439,1.1377,0.4654,1.0315,43,1.0625,0.0077,0.6827,0.3924,0.0491,0.1445,0.2747,0.4399,0.0435,0.1682,0.319,0.0982,0.9063,0.3691,0.3858,linuxmint_mintinstall,2.4
0.0996,0.2226,0.1255,3.0301,0,1.143,200,1.0011,0.3266,1.1183,0.5804,1.061,19,1.0356,0.0178,0,0.3386,0.2778,0.1266,0.4059,0.3968,0.017,0,0.3889,0.0556,1,0.355,0.4,linuxmint_mintlocale,1
0.2158,0.4075,0.2224,5.2641,0.0016,1.0531,711,0.9933,0.359,1.122,0.3865,1.0609,41,1.0443,0.0082,0,0.3386,0.2778,0.1266,0.4059,0.3968,0.017,0,0.3889,0.0556,1,0.355,0.4,linuxmint_mintmenu,0.36734693877551
0.0164,0.0497,0.0348,0.809,0,1.0687,33,1.0274,0.2994,1.0879,0.0651,1,0,1.0662,0.0333,0,0.0889,1,0.1963,0,0.258,0,0,0.4,0.1333,1,0.5152,0.5294,linuxmint_mintnanny,1.83783783783784
0.0557,0.0467,0.0334,0.7487,0,1.1826,46,0.9767,0.1649,1.2107,0.0341,0.9167,1,1.0979,0.0092,0.1667,0.1515,0.3,0.2087,0.244,0.5094,0.0312,0.25,0.7,0.1667,0.8043,0.7391,0.64,linuxmint_mintreport,0.862745098039216
0.1636,0.3418,0.1947,5.3533,0,1.1031,403,1.0065,0.2947,1.1319,0.3309,1.0535,37,1.0832,0.0091,0,0.3358,0.0962,0.1474,0.324,0.4334,0.1029,0,0.4038,0.1346,0.871,0.464,0.5137,linuxmint_mintsources,0.738095238095238
0.06,0.1965,0.1071,2.7269,0,1.0505,157,1.0119,0.3232,1.1404,0.3662,1.0363,9,1.058,0.0149,0.5,0.3166,0.2143,0.1857,0.0938,0.5369,0.0669,0.3994,0.3393,0.1607,0.9873,0.4586,0.507,linuxmint_mintstick,0.570397111913357
0.0834,0.1966,0.1339,3.3614,0,1.0663,220,1.0034,0.2651,1.15,0.2586,1.0415,9,1.0579,0.0109,0.5507,0.264,0.194,0.149,0.0915,0.4712,0.0308,0.3333,0.3881,0.1194,0.9545,0.4864,0.5,linuxmint_mintsystem,3.5
0.4882,0.3629,0.2142,5.3123,0,1.0478,1569,0.9934,0.3453,1.1277,0.3825,1.0433,46,1.0517,0.0048,0.7733,0.4556,0.0271,0.1517,0.2749,0.4673,0.0656,0.2046,0.322,0.1322,0.9592,0.3792,0.4126,linuxmint_mintupdate,0.454545454545455
0.0493,0.0615,0.0339,0.827,0,1.0568,54,0.9962,0.3509,1.0679,0.1661,1.0333,4,1.0453,0.035,0,0.2296,1,0.2497,0,0.423,0,0,0.28,0.08,0.9815,0.4074,0.2273,linuxmint_mintupgrade,0.213793103448276
0.0348,0.0621,0.04,1.0136,0,1.0745,78,0.9968,0.2709,1.0325,0.1385,1.0308,3,1.0452,0.0478,0,0.1618,1,0.179,0,0.243,0,0,0.2941,0.0588,0.8333,0.4744,0.5946,linuxmint_mintupload,0.252808988764045
0.481,0.3462,0.2407,5.9301,0.0027,1.0545,1393,0.9942,0.3198,1.175,0.3214,1.0485,47,1.0526,0.0046,0.0659,0.4509,0.0297,0.1906,0.2469,0.355,0.0911,0.0769,0.539,0.1673,0.8169,0.3905,0.5396,linuxmint_muffin,0.35933147632312
3.3481,0.4164,0.2476,6.2163,0.0112,1.0663,9070,0.9937,0.4082,1.0911,0.2684,1.0535,59,1.0481,0.001,0.7609,0.5143,0.0041,0.1829,0.1994,0.356,0.0424,1.0858,0.4518,0.1226,0.7934,0.2496,0.278,linuxmint_nemo,0.987295825771325
0.3767,0.4473,0.2444,6.2858,0,1.0735,993,1.0046,0.3152,1.1072,0.1903,1.0685,51,1.0864,0.0036,0.4769,0.3896,0.0153,0.1723,0.2593,0.4138,0.0691,0.1581,0.5172,0.1456,0.7462,0.3494,0.5088,linuxmint_nemo-extensions,1.39102564102564
0.1546,0.2316,0.1434,3.086,0,1.095,192,1.0091,0.3603,1.2764,0.2036,1.0541,14,1.0907,0.0085,0.15,0.2786,0.1023,0.1384,0.1753,0.629,0.057,0,0.4432,0.1705,0.4792,0.4531,0.3908,linuxmint_pix,7.9
0.4308,0.3186,0.1692,4.1777,0,1.1236,423,1.0122,0.3353,1.0975,0.1963,1.1129,11,0.9759,0.0088,0.3,0.3798,0.0847,0.171,0.1455,0.3162,0.0669,0.214,0.5169,0.0254,0.6478,0.3452,0.4097,linuxmint_python-xapp,0.545454545454545
0.4308,0.3193,0.1689,4.1756,0,1.1236,423,1.0122,0.3353,1.5485,0.2031,1.1129,11,1.1917,0.0091,0.5196,0.3798,0.0862,0.1702,0.355,0.3144,0.098,0.1321,0.5259,0.1983,0.6478,0.3452,0.4097,linuxmint_slick-greeter,2.11538461538462
0.0156,0.0257,0.0138,0.4183,0,1.0426,38,0.9954,0.1879,1,0.0222,1,0,1.0182,0.0182,0,0,1,0.134,0,0.3384,0,0,0.7273,0.0909,1,0.6316,0.6667,linuxmint_ubiquity,1.08333333333333
0.1363,0.1995,0.1231,2.6566,0.0006,1.0836,161,1.0027,0.2487,1.3245,0.5584,1.1155,13,1.0577,0.025,0.1364,0.2782,0.75,0.1778,0.1237,0.4569,0.0625,0.1038,0.25,0.1,0.9255,0.5155,0.6145,linuxmint_xapps,0.448275862068966
0.7113,0.4046,0.2413,5.9015,0,1.1142,1010,0.9939,0.377,1.2938,0.6153,1.0911,34,1.1212,0.0048,0.4454,0.3997,0.0121,0.1415,0.2867,0.47,0.0646,0.5356,0.3482,0.1134,0.7851,0.3376,0.3607,linuxmint_xed,1.65
0.3019,0.2891,0.1634,4.4703,0,1.0952,416,0.9991,0.3515,1.4271,0.2065,1.0884,22,1.112,0.0073,0.5,0.3475,0.0504,0.1592,0.324,0.3901,0.1035,0.1724,0.437,0.1008,0.7548,0.3798,0.5,linuxmint_xplayer,0.933333333333333
0.7679,0.3998,0.2331,5.6135,0.0018,1.1998,1082,0.9857,0.3723,1.9163,0.4234,1.0893,26,1.144,0.0048,0.5801,0.3975,0.021,0.161,0.1768,0.4307,0.0595,0.1754,0.4076,0.1008,0.7514,0.3244,0.3743,linuxmint_xreader,0.539007092198582
0.144,0.1828,0.1221,3.075,0,1.1791,193,1.0004,0.3101,1.2247,0.1421,1.0727,19,1.16,0.0065,0.2286,0.2776,0.0673,0.1391,0.2933,0.553,0.0462,0,0.5481,0.1827,0.4249,0.4456,0.5,linuxmint_xviewer,2.06666666666667
